# Generated from Chewing tsi.csv
# Source revision: ea74f76dd2548b1d65d0ff70c3ae66057a6ad97d
# Dictionary license: LGPL-2.1-or-later
㹴	犬
一線	生	之	天	希
一線之	隔
一線希	望
一線生	機
一缸	水
一群	人	群
一義	諦
一翻	兩	出	到
一翻兩	瞪
一翻兩瞪	眼
一而	再	足	終
一聲	令	不	聲	雷
一聲不	響	吭
一聲令	下
一聽	之
一聽之	下
一肚	子
一肚子	氣	火
一股	腦	勁
一股勁	兒
一股腦	兒
一胎	化
一脈	相
一脈相	承	傳
一腔	熱
一腔熱	血	誠
一腳	印	踢
一腳踢	開
一臂	之
一臂之	力
一臉	茫
一臉茫	然
一致	性	百
一致百	慮
一舉	一	兩	成	數
一舉一	動
一舉兩	得
一舉成	名	擒
一舉數	得
一般	人	而	性	來	說	化	見	等
一般人	員
一般來	說
一般官	員
一般常	識
一般情	形
一般狀	況
一般等	價
一般等價	物
一般而	言
一般見	識
一般說	來
一艘	船
一草	一
一草一	木
一萬	元	個	人	塊
一落	千
一落千	丈
一葉	知	扁
一葉扁	舟
一葉知	秋
一葦	渡
一葦渡	江
一行	人	行	三
一行三	昧
一表	人
一表人	才	材
一要	到
一見	鍾	面	如	傾
一見傾	心
一見如	故
一見鍾	情
一規	律
一視	同
一視同	仁
一親	芳
一親芳	澤
一覺	睡
一覺睡	到
一覺睡到	天
一覽	表	無
一覽無	遺	餘
一角	錢
一觸	即
一觸即	發	爆
一言	一	堂	難	為	不	以	九	中
一言一	行
一言不	合	和	發
一言中	的
一言九	鼎
一言以	蔽
一言以蔽	之
一言半	語
一言喪	邦
一言既	出
一言為	定
一言興	邦
一言難	盡
一計	劃
一試	之
一試之	下
一語	不	道	成	雙	驚	中	破
一語不	發
一語中	的
一語成	讖
一語破	的
一語道	破
一語雙	關
一語驚	醒
一誤	再
一誤再	誤
一說	到	出	起
一調	之
一調之	下
一諾	千	值
一諾值	千
一諾值千	金
一諾千	金
一講	到	出
一警	百
一讀	再
一讀再	讀
一貧	如
一貧如	洗
一貫	作	道	性	下
一貫下	來
一貫作	業
一買	一
一買一	賣
一走	了
一走了	之
一起	來	去	到	兒
一跌	再
一跌再	跌
一路	上	順	平	福	重
一路平	安
一路福	星
一路重	挫
一路順	風
一蹴	可	而
一蹴可	及	成	幾
一蹴而	及
一蹶	不
一蹶不	振
一躍	龍
一躍龍	門
一身	是	兩	輕
一身兩	役
一身是	汗	膽
一車	子
一較	高
一較高	下
一輛	車
一輩	子	兒
一轂	轆
一轉	眼
一送	一
一通	通
一逞	獸
一逞獸	慾
一連	串
一週	年
一進	來	到	去
一過	去	來
一道	菜
一遮	之
一遮之	下
一邊	倒
一部	分
一醉	解
一醉解	千
一醉解千	愁
一針	見
一針見	血
一錢	不
一錢不	值
一錯	再
一錯再	錯
一長	一
一長一	短
一門	忠
一門忠	烈
一閃	即	而
一閃即	逝
一閃而	過
一開	出	到
一開出	來
一闡	提
一陣	子	陣	風	雨
一隻	眼
一雙	雙
一雨	成
一雨成	災	秋
一霎	時	眼
一面	倒	之
一面之	緣	詞	交	辭	雅
一鞠	躬
一頓	飯
一頭	霧	熱	撞
一頭撞	死
一頭霧	水
一顰	一
一顰一	笑
一飛	沖
一飛沖	天
一飯	一	千
一飯一	啄
一飯千	金
一飲	而	一
一飲一	啄
一飲而	盡
一飽	口	眼	耳
一飽口	福
一飽眼	福
一飽耳	福
一餐	飯
一首	歌
一馬	當
一馬當	先
一骨	碌
一體	化	成
一體成	形
一髮	而	千
一髮千	鈞
一髮而	動
一髮而動	全
一鬨	而
一鬨而	散
一鱗	半
一鱗半	爪
一鳴	驚
一鳴驚	人
一麾	出
一麾出	守
一點	也	一	兒	鐘	紅	通
一點一	滴
一點也	不	沒
一黨	獨	制
一黨獨	大
一鼓	作
一鼓作	氣
一鼻	子	孔
一鼻子	灰
一鼻孔	出
一鼻孔出	氣
一齣	戲
丁	美	班	丁	等	文	香	字	二
丁丁	冬	當
丁丁冬	冬
丁丁當	當
丁不	識
丁二	烯
丁公	園
丁冬	冬
丁卯	是
丁卯是	卯
丁基	橡
丁基橡	膠
丁字	褲	形	尺	母	型	鎬
丁尼	亞
丁尼亞	王
丁尼亞王	國
丁旺	盛
丁是	丁
丁是丁	卯
丁是丁卯	是
丁格	爾
丁橡	膠
丁母	憂
丁民	族
丁當	當
丁種	維
丁種維	生
丁種維生	素
丁美	洲
丁肇	中
丁苯	橡
丁苯橡	膠
丁語	系
丁路	德
丁鈴	噹
丁鈴噹	啷
丁香	油	花
丁點	兒
七	年	十	月	日	七	千	號	百
七七	事
七七事	變
七上	八
七上八	下
七世	夫
七世夫	妻
七事	變
七二	十
七二十	一
七五	減
七五減	租
七仙	女
七件	事
七位	數
七俠	五
七俠五	義
七個	人
七億	人
七八	糟
七分	鐘
七十	二
七十二	變	烈
七十二烈	士
七千	元	人
七嘴	八
七嘴八	舌
七夾	八
七孔	流	生
七孔流	血
七孔生	煙
七尺	之
七尺之	軀	驅
七層	樓
七巧	板
七平	八
七平八	穩
七年	級	之
七年之	癢
七弦	琴
七彩	繽
七彩繽	紛
七情	六
七情六	慾	欲
七手	八
七手八	腳
七扭	八
七扭八	歪
七折	八
七折八	扣
七拐	八
七拐八	拐
七拼	八
七拼八	湊
七擒	七
七擒七	縱
七早	八
七早八	早
七星	山	岩	壇	巖	板	燈	瓢
七星瓢	蟲
七月	份	革
七月革	命
七梯	次
七橫	八
七橫八	豎
七步	之	奇	成	詩
七步之	才
七步奇	才
七步成	詩
七水	災
七滅	諍
七滅諍	法
七爺	八
七爺八	爺
七百	元	人
七盤	菜
七秒	鐘
七竅	生	冒
七竅冒	煙
七竅生	煙
七節	課
七級	風
七絃	琴
七老	八
七老八	十
七色	板
七葉	膽
七葷	八
七葷八	素
七行	詩
七覺	支
七言	律	絕	詩
七言律	詩
七言絕	句
七豎	八
七輛	車
七道	品
七里	香
七重	唱	奏
七除	八
七除八	扣
七雜	八
七零	八
七零八	落
七顛	八
七顛八	倒
七點	鐘	時
丈	夫	量	人	母	高	二	光	深
丈二	金	和
丈二和	尚
丈二金	剛
丈光	芒
丈六	金
丈六金	身
丈母	娘
丈深	淵
丈紅	塵
丈量	法
